Folder Path,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T195306_SmallPatches_C1-CAM3,1,1,1,0,OK,874,33747,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM7,1,1,1,0,OK,14106,20512,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195557_SmallPatches_C1-CAM4,1,1,1,0,OK,3637,30933,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM8,1,1,1,0,OK,2733,31847,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM6,1,1,1,0,OK,1078,30627,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221011T191711_SmallPatches_C2-CAM7,1,1,1,0,OK,1204,33565,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM1,1,1,1,0,OK,22113,12338,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T195638_SmallPatches_C3-CAM6,1,0,1,0,WEIRD,4413,18144,12039,0.34798820672910163,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM2,1,1,1,0,OK,2221,32482,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T102404_SmallPatches_C3-CAM7,1,1,1,0,OK,11086,23505,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221015T195306_SmallPatches_C1-CAM4,1,1,1,0,OK,892,33732,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM8,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T131806_SmallPatches_C4-CAM7,0,0,1,1,NO WORM,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221110T110848_SmallPatches_C4-CAM4,1,1,1,0,OK,713,33993,0,0.0,1 worm clean
