Folder Path;traj.csv exists?;foodpatches_reviewed.csv exists?;traj.mat exists?;traj.mat empty?;Diagnosis of video;frames with zero worms;frames with one worm;frames with two or more worms;proportion of frames with multiple worms;final classification of the video
Documents/PTUT/Minipatches_light_20260116/20221121T204614_SmallPatches_C2-CAM1;1;1;1;0;OK;669;6919;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T115619_SmallPatches_C1-CAM2;1;1;0;0;WEIRD;3660;24397;7076;0.201406085446731;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221013T115324_SmallPatches_C4-CAM7;1;1;0;0;WEIRD;354;517;32606;0.9739821369895749;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221126T203554_SmallPatches_C2-CAM5;1;1;1;0;OK;6686;28561;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T201803_SmallPatches_C3-CAM1;1;1;1;0;OK;577;34560;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T201820_SmallPatches_C2-CAM5;1;1;1;0;OK;6136;29056;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T192724_SmallPatches_C6-CAM1;1;1;1;0;OK;665;34286;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T203554_SmallPatches_C2-CAM2;1;1;1;0;OK;1263;33933;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T112033_SmallPatches_C3-CAM4;1;1;1;0;OK;5744;29366;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T115619_SmallPatches_C1-CAM5;1;1;1;0;OK;5884;19653;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T195631_SmallPatches_C2-CAM2;1;1;1;0;OK;516;34640;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T204614_SmallPatches_C2-CAM6;1;1;1;0;OK;2200;32952;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T201306_SmallPatches_C3-CAM1;1;1;1;0;OK;5250;23591;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T202208_SmallPatches_C2-CAM6;1;1;1;0;OK;3884;31292;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T192717_SmallPatches_C5-CAM2;1;1;0;0;WEIRD;956;6486;27538;0.7872498570611778;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221015T195345_SmallPatches_C3-CAM3;1;1;1;0;OK;1255;33739;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105407_SmallPatches_C4-CAM3;1;1;1;0;OK;522;34449;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194409_SmallPatches_C5-CAM5;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221120T190723_SmallPatches_C1-CAM7;1;1;0;0;WEIRD;18738;12508;3910;0.11121856866537717;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM6;1;1;1;0;OK;10495;24622;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T102319_SmallPatches_C1-CAM2;1;1;0;0;WEIRD;525;7654;26949;0.7671657936688682;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221017T203157_SmallPatches_C4-CAM1;1;1;1;0;OK;7358;27644;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T203108_SmallPatches_C6-CAM6;1;1;1;0;OK;293;34692;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM3;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221110T111030_SmallPatches_C6-CAM3;1;1;1;0;OK;4979;30008;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T101612_SmallPatches_C2-CAM3;1;1;0;0;WEIRD;431;31711;2934;0.08364693807731782;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221123T120814_SmallPatches_C5-CAM3;1;1;1;0;OK;638;34505;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194409_SmallPatches_C5-CAM2;1;1;1;0;OK;6381;28663;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM1;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221117T105407_SmallPatches_C4-CAM4;1;1;1;0;OK;2773;31686;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T193022_SmallPatches_C1-CAM7;1;1;1;0;OK;720;34273;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113100_SmallPatches_C3-CAM2;1;1;1;0;OK;12136;23054;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T195345_SmallPatches_C3-CAM4;1;1;1;0;OK;5927;29086;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T201234_SmallPatches_C1-CAM3;1;1;1;0;OK;2366;32612;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T192717_SmallPatches_C5-CAM5;1;1;1;0;OK;3087;31928;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T194402_SmallPatches_C4-CAM8;1;1;1;0;OK;3571;30896;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T111030_SmallPatches_C6-CAM4;1;1;1;0;OK;5159;29705;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T101612_SmallPatches_C2-CAM4;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221123T120814_SmallPatches_C5-CAM4;1;1;1;0;OK;1578;33586;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T203108_SmallPatches_C6-CAM1;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM4;1;1;1;0;OK;412;34591;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T102319_SmallPatches_C1-CAM5;1;1;1;0;OK;13866;21230;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T113711_SmallPatches_C1-CAM2;1;1;1;0;OK;8897;26254;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T193937_SmallPatches_C4-CAM5;1;1;1;0;OK;17948;17097;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T120820_SmallPatches_C6-CAM5;1;1;1;0;OK;2474;14371;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105419_SmallPatches_C6-CAM5;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221017T111428_SmallPatches_C1-CAM7;1;1;1;0;OK;2234;32909;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T193605_SmallPatches_C2-CAM7;1;1;1;0;OK;1574;33489;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM8;1;1;1;0;OK;15401;19641;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T191245_SmallPatches_C3-CAM4;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221116T194402_SmallPatches_C4-CAM1;1;1;1;0;OK;3442;31530;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T143338_SmallPatches_C2-CAM6;1;1;0;0;WEIRD;7890;27175;76;0.0021627159158817337;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221123T120820_SmallPatches_C6-CAM2;1;1;1;0;OK;10815;24335;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T192051_SmallPatches_C4-CAM7;1;1;1;0;OK;2456;32515;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T203314_SmallPatches_C5-CAM5;1;1;1;0;OK;2100;32900;0;0.0;1 worm clean
