Folder Path;traj.csv exists?;foodpatches_reviewed.csv exists?;traj.mat exists?;traj.mat empty?;Diagnosis of video;frames with zero worms;frames with one worm;frames with two or more worms;proportion of frames with multiple worms;final classification of the video
Documents/PTUT/Minipatches_light_20260116/20221110T193022_SmallPatches_C1-CAM6;1;1;1;0;OK;677;34314;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194409_SmallPatches_C5-CAM3;1;1;1;0;OK;6927;28132;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T190723_SmallPatches_C1-CAM1;1;1;1;0;OK;26723;6441;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113100_SmallPatches_C3-CAM3;1;1;1;0;OK;640;34567;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T192051_SmallPatches_C4-CAM8;1;1;1;0;OK;1016;33923;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T111030_SmallPatches_C6-CAM5;1;1;1;0;OK;294;34614;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T120814_SmallPatches_C5-CAM5;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221117T104032_SmallPatches_C1-CAM8;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221017T203157_SmallPatches_C4-CAM7;1;1;1;0;OK;1940;33046;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T102319_SmallPatches_C1-CAM4;1;1;1;0;OK;1136;33955;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM5;1;1;1;0;OK;2390;32606;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T195345_SmallPatches_C3-CAM2;1;1;1;0;OK;5787;29199;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T193605_SmallPatches_C2-CAM8;1;1;0;0;WEIRD;672;9925;24482;0.6979104307420394;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221116T194416_SmallPatches_C6-CAM7;1;1;1;0;OK;377;34650;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194409_SmallPatches_C5-CAM4;1;1;1;0;OK;392;34685;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T190723_SmallPatches_C1-CAM6;1;1;1;0;OK;2426;32681;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105407_SmallPatches_C4-CAM2;1;1;1;0;OK;975;33971;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T193022_SmallPatches_C1-CAM1;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221017T202208_SmallPatches_C2-CAM7;1;1;1;0;OK;5268;29822;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T201234_SmallPatches_C1-CAM5;1;1;1;0;OK;6115;28865;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T210621_SmallPatches_C1-CAM2;1;1;1;0;OK;2766;4860;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T102319_SmallPatches_C1-CAM3;1;1;1;0;OK;4252;30895;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T111030_SmallPatches_C6-CAM2;1;1;1;0;OK;3947;31025;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T101612_SmallPatches_C2-CAM2;1;1;1;0;OK;4190;30870;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T120814_SmallPatches_C5-CAM2;1;1;1;0;OK;848;34276;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T111428_SmallPatches_C1-CAM8;1;1;1;0;OK;579;34568;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115434_SmallPatches_C5-CAM2;1;1;1;0;OK;1481;32017;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T114429_SmallPatches_C6-CAM4;1;1;1;0;OK;22716;12222;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T112734_SmallPatches_C1-CAM8;1;1;1;0;OK;636;34557;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T114809_SmallPatches_C3-CAM1;1;1;1;0;OK;260;32733;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T211451_SmallPatches_C5-CAM1;1;1;1;0;OK;11370;23736;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115441_SmallPatches_C6-CAM4;1;1;1;0;OK;1812;31675;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200743_SmallPatches_C2-CAM5;1;1;1;0;OK;3827;28466;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113025_SmallPatches_C1-CAM6;1;1;0;0;WEIRD;1104;33293;730;0.020781734847837845;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221013T114809_SmallPatches_C3-CAM6;1;1;1;0;OK;4710;28289;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T201756_SmallPatches_C2-CAM2;1;1;1;0;OK;1049;34137;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T115703_SmallPatches_C3-CAM3;1;1;1;0;OK;651;34520;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T104110_SmallPatches_C2-CAM6;1;1;1;0;OK;2157;33079;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194401_SmallPatches_C4-CAM7;1;1;1;0;OK;3275;31831;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115434_SmallPatches_C5-CAM5;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221126T114429_SmallPatches_C6-CAM3;1;1;1;0;OK;3201;31169;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200743_SmallPatches_C2-CAM2;1;1;1;0;OK;351;34637;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T211451_SmallPatches_C5-CAM6;1;1;1;0;OK;3347;31675;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115441_SmallPatches_C6-CAM3;1;1;1;0;OK;2484;30989;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T191156_SmallPatches_C1-CAM7;1;1;1;0;OK;1949;33171;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM6;1;1;0;0;WEIRD;11214;23834;1;2.8531484493138176e-05;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221118T104750_SmallPatches_C6-CAM4;1;1;1;0;OK;3786;31236;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T201712_SmallPatches_C1-CAM7;1;1;1;0;OK;2558;32589;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM3;1;1;1;0;OK;5646;5870;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T143343_SmallPatches_C3-CAM2;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221125T144049_SmallPatches_C4-CAM3;1;1;1;0;OK;9777;25247;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T112823_SmallPatches_C2-CAM4;1;1;1;0;OK;1738;33402;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T112734_SmallPatches_C1-CAM6;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221012T203101_SmallPatches_C5-CAM1;1;1;1;0;OK;291;34662;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200144_SmallPatches_C6-CAM2;1;1;1;0;OK;421;34569;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T144049_SmallPatches_C4-CAM4;1;1;1;0;OK;3925;31151;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T211451_SmallPatches_C5-CAM8;1;1;1;0;OK;962;34216;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM4;1;1;1;0;OK;480;34627;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221118T104750_SmallPatches_C6-CAM3;1;1;1;0;OK;3959;31054;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113125_SmallPatches_C2-CAM2;1;1;1;0;OK;1736;33454;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200144_SmallPatches_C6-CAM5;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221117T104110_SmallPatches_C2-CAM8;1;1;1;0;OK;14497;20745;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T102313_SmallPatches_C2-CAM6;1;1;1;0;OK;1075;33868;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113946_SmallPatches_C4-CAM7;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221126T112734_SmallPatches_C1-CAM1;1;1;1;0;OK;8015;115;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113025_SmallPatches_C1-CAM8;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221013T114809_SmallPatches_C3-CAM8;1;1;1;0;OK;9184;23794;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T200335_SmallPatches_C6-CAM4;1;1;1;0;OK;3403;30997;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T103134_SmallPatches_C5-CAM7;1;1;1;0;OK;1855;33264;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T201720_SmallPatches_C1-CAM3;1;1;1;0;OK;8457;26721;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T103141_SmallPatches_C6-CAM1;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221117T105413_SmallPatches_C5-CAM2;1;1;1;0;OK;354;34675;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T102358_SmallPatches_C2-CAM4;1;1;1;0;OK;23677;11394;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T200700_SmallPatches_C5-CAM1;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221115T193611_SmallPatches_C3-CAM8;1;1;1;0;OK;480;34617;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T112832_SmallPatches_C3-CAM4;1;1;1;0;OK;2090;33102;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T200706_SmallPatches_C6-CAM6;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221012T131923_SmallPatches_C6-CAM6;1;1;1;0;OK;6597;20389;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T191902_SmallPatches_C5-CAM2;1;1;1;0;OK;2279;32845;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T201720_SmallPatches_C1-CAM4;1;1;1;0;OK;1622;33557;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T102308_SmallPatches_C3-CAM7;1;1;1;0;OK;3421;31489;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T200335_SmallPatches_C6-CAM3;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221125T232132_SmallPatches_C2-CAM8;1;1;0;0;WEIRD;22870;12174;1;2.8534741047224996e-05;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221012T131923_SmallPatches_C6-CAM1;1;1;1;0;OK;360;26566;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T191902_SmallPatches_C5-CAM5;1;1;1;0;OK;3244;31799;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T200706_SmallPatches_C6-CAM1;1;1;1;0;OK;3764;31298;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM8;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221016T201801_SmallPatches_C3-CAM7;1;1;0;0;WEIRD;530;87;34500;0.9824301620297862;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221126T112832_SmallPatches_C3-CAM3;1;1;1;0;OK;643;34530;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T201332_SmallPatches_C2-CAM6;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221015T200700_SmallPatches_C5-CAM6;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221121T204620_SmallPatches_C3-CAM1;1;1;1;0;OK;4873;30252;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105413_SmallPatches_C5-CAM5;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221014T103141_SmallPatches_C6-CAM6;1;1;0;0;WEIRD;9214;25877;1;2.8496523424142255e-05;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221116T194409_SmallPatches_C5-CAM4;1;1;1;0;OK;8188;15602;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T200706_SmallPatches_C6-CAM8;1;1;1;0;OK;5487;29546;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM7;1;1;0;0;WEIRD;2354;28097;4580;0.1307413433815763;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM1;1;1;1;0;OK;670;34278;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T131923_SmallPatches_C6-CAM8;1;1;1;0;OK;10520;16401;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T143258_SmallPatches_C1-CAM7;1;1;1;0;OK;6025;29109;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T191303_SmallPatches_C2-CAM3;1;1;1;0;OK;573;34572;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM5;1;1;1;0;OK;377;34634;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200721_SmallPatches_C3-CAM4;1;1;1;0;OK;503;34501;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T193611_SmallPatches_C3-CAM6;1;1;1;0;OK;13039;22013;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T203313_SmallPatches_C5-CAM4;1;1;1;0;OK;7800;27267;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200026_SmallPatches_C4-CAM7;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221014T103141_SmallPatches_C6-CAM8;1;1;1;0;OK;6579;27968;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200721_SmallPatches_C3-CAM3;1;1;1;0;OK;564;34432;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T201332_SmallPatches_C2-CAM8;1;1;1;0;OK;2052;32895;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T200700_SmallPatches_C5-CAM8;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221115T193611_SmallPatches_C3-CAM1;1;1;1;0;OK;5337;29731;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM2;1;1;0;0;WEIRD;318;1836;32822;0.9384149130832571;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221014T191303_SmallPatches_C2-CAM4;1;1;1;0;OK;4426;30746;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T194409_SmallPatches_C5-CAM3;1;1;1;0;OK;345;34636;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM6;1;1;0;0;WEIRD;1764;33137;3;8.595003438001376e-05;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221122T192239_SmallPatches_C3-CAM2;1;1;1;0;OK;3748;31343;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T232132_SmallPatches_C2-CAM6;1;1;1;0;OK;596;34492;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T113745_SmallPatches_C2-CAM6;1;1;1;0;OK;3552;31530;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T193945_SmallPatches_C5-CAM7;1;1;1;0;OK;3659;31392;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM3;1;1;1;0;OK;866;34074;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T101555_SmallPatches_C3-CAM2;1;1;1;0;OK;885;34099;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM3;1;1;1;0;OK;2828;32389;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM1;1;1;1;0;OK;11257;21211;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM5;1;1;1;0;OK;2136;32870;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T190805_SmallPatches_C2-CAM2;1;1;1;0;OK;2997;32147;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T233330_SmallPatches_C4-CAM8;1;1;1;0;OK;5359;29671;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T192231_SmallPatches_C2-CAM6;1;1;1;0;OK;3329;31880;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T211445_SmallPatches_C4-CAM8;1;1;1;0;OK;4863;30214;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM4;1;1;1;0;OK;5790;29172;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM1;1;1;1;0;OK;5761;29342;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM3;1;1;0;0;WEIRD;530;240;34393;0.9781019821971959;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM1;1;1;1;0;OK;1314;33610;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T104123_SmallPatches_C3-CAM2;1;1;1;0;OK;1239;33828;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM5;1;1;1;0;OK;4899;30185;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T113223_SmallPatches_C6-CAM2;1;1;1;0;OK;440;34622;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM6;1;1;1;0;OK;303;34665;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T105445_SmallPatches_C1-CAM4;1;1;1;0;OK;6837;28121;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T232044_SmallPatches_C1-CAM4;1;1;0;0;WEIRD;4747;15633;14831;0.4212036011473687;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221126T114423_SmallPatches_C5-CAM2;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221017T202150_SmallPatches_C3-CAM4;1;1;0;0;WEIRD;525;2829;31824;0.9046563192904656;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221110T193059_SmallPatches_C3-CAM3;1;1;1;0;OK;337;34614;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM6;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM8;1;1;1;0;OK;1413;33559;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM5;1;1;0;0;WEIRD;331;47;33103;0.9887100146351662;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM2;1;1;1;0;OK;10791;23993;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM3;1;1;1;0;OK;6514;28657;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T191711_SmallPatches_C2-CAM4;1;1;1;0;OK;359;34573;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM1;1;1;1;0;OK;6806;28173;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T211445_SmallPatches_C4-CAM6;1;1;1;0;OK;26743;7837;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T233330_SmallPatches_C4-CAM6;1;1;0;0;WEIRD;3288;4453;27327;0.7792574426827877;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221122T102404_SmallPatches_C3-CAM4;1;1;0;0;WEIRD;445;0;34607;0.9873045760584275;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM3;1;1;1;0;OK;610;34467;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221015T195306_SmallPatches_C1-CAM7;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221012T130040_SmallPatches_C2-CAM3;1;1;1;0;OK;3137;25007;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T131806_SmallPatches_C4-CAM4;1;1;1;0;OK;20933;5890;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T233330_SmallPatches_C4-CAM1;1;1;1;0;OK;1028;34013;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T102404_SmallPatches_C3-CAM3;1;1;1;0;OK;6486;28504;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T205101_SmallPatches_C4-CAM8;1;1;1;0;OK;632;34583;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T195638_SmallPatches_C3-CAM2;1;1;1;0;OK;8945;26166;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T194534_SmallPatches_C5-CAM6;1;1;1;0;OK;2583;32376;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T191711_SmallPatches_C2-CAM3;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221116T102254_SmallPatches_C1-CAM5;1;1;1;0;OK;2999;31946;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T203601_SmallPatches_C3-CAM4;1;1;1;0;OK;5534;29693;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T192159_SmallPatches_C5-CAM8;1;1;0;0;WEIRD;258;7217;27448;0.7859576783208774;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221011T111213_SmallPatches_C1-CAM2;1;1;1;0;OK;329;33139;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T131806_SmallPatches_C4-CAM3;1;1;1;0;OK;707;26099;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103106_SmallPatches_C6-CAM8;1;1;1;0;OK;876;34114;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T112304_SmallPatches_C4-CAM7;1;1;1;0;OK;259;32351;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T130040_SmallPatches_C2-CAM4;1;1;1;0;OK;979;27253;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T113217_SmallPatches_C5-CAM4;1;1;1;0;OK;5797;29299;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T195557_SmallPatches_C1-CAM7;1;1;1;0;OK;6832;6718;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T143258_SmallPatches_C1-CAM1;1;1;1;0;OK;25494;9595;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T201801_SmallPatches_C3-CAM8;1;1;1;0;OK;6779;28348;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM1;1;1;1;0;OK;8246;26803;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T194409_SmallPatches_C5-CAM2;1;1;1;0;OK;4640;30443;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM7;1;1;1;0;OK;6437;28488;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T203313_SmallPatches_C5-CAM2;1;1;0;0;WEIRD;1574;33464;2;5.7077625570776254e-05;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM3;1;1;1;0;OK;2526;32462;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200721_SmallPatches_C3-CAM2;1;1;1;0;OK;712;34273;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T102308_SmallPatches_C3-CAM8;1;1;1;0;OK;1826;33124;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T193945_SmallPatches_C5-CAM6;1;1;1;0;OK;11279;23856;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221125T232132_SmallPatches_C2-CAM7;1;1;1;0;OK;2137;23672;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T192239_SmallPatches_C3-CAM3;1;1;0;0;WEIRD;6966;9667;18468;0.5261388564428364;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221013T200026_SmallPatches_C4-CAM1;1;1;1;0;OK;6117;28823;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T113745_SmallPatches_C2-CAM7;1;1;1;0;OK;5209;30098;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200721_SmallPatches_C3-CAM5;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221115T193611_SmallPatches_C3-CAM7;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM4;1;1;1;0;OK;9597;25403;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221118T103541_SmallPatches_C3-CAM1;1;1;1;0;OK;563;34577;0;0.0;1 worm clean
